Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,89543,5,94.6,Hire,2,1,3,1,0.9437,1,Hire,383
"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,89633,2,83.8,Hire,4,1,0,4,0.9437,1,Hire,383
"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,60828,3,94.5,Hire,2,1,0,0,0.943,1,Hire,387
"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,None,Data Scientist,60868,7,98.0,Hire,3,3,2,2,0.943,1,Hire,387
"SQL, Java, React, C++",5,M.Tech,Deep Learning Specialization,Software Engineer,60720,7,100.0,Hire,3,1,3,2,0.943,1,Hire,387
"Networking, Ethical Hacking, Cybersecurity, Linux",2,MBA,None,Cybersecurity Analyst,60745,0,41.1,Hire,3,3,1,3,0.943,1,Hire,387
"Pytorch, TensorFlow",9,B.Sc,Google ML,AI Researcher,61090,7,94.8,Hire,2,2,0,0,0.943,1,Hire,387
"Networking, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,61038,9,97.8,Hire,3,2,1,2,0.943,1,Hire,387
"NLP, TensorFlow, Python, Pytorch",1,MBA,Google ML,AI Researcher,61309,2,55.7,Hire,3,2,0,3,0.943,1,Hire,387
"Linux, Cybersecurity",8,MBA,AWS Certified,Cybersecurity Analyst,60790,7,100.0,Hire,3,0,1,3,0.943,1,Hire,387
"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,51388,6,58.1,Hire,4,2,1,4,0.9429,1,Hire,395
"Machine Learning, Deep Learning",9,PhD,None,Data Scientist,51682,8,98.2,Hire,4,3,2,4,0.9429,1,Hire,395
"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,51478,9,100.0,Hire,3,0,0,2,0.9429,1,Hire,395
"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,117704,10,100.0,Hire,3,2,1,2,0.9427,1,Hire,398
"SQL, Machine Learning, Deep Learning, Python",6,M.Tech,Deep Learning Specialization,Data Scientist,117621,5,94.4,Hire,3,1,2,2,0.9427,1,Hire,398
"Cybersecurity, Networking",7,M.Tech,Google ML,Cybersecurity Analyst,117696,4,100.0,Hire,3,2,1,2,0.9427,1,Hire,398
"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,117600,0,86.0,Hire,4,0,2,4,0.9427,1,Hire,398
"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,88256,9,73.0,Hire,4,2,0,4,0.9425,1,Hire,402
"NLP, TensorFlow, Pytorch",7,MBA,None,AI Researcher,88358,4,100.0,Hire,3,3,0,3,0.9425,1,Hire,402
"Python, Pytorch, TensorFlow",1,M.Tech,None,AI Researcher,88349,10,75.6,Hire,3,3,0,2,0.9425,1,Hire,402
"TensorFlow, Python, NLP",6,B.Tech,Google ML,AI Researcher,88432,4,95.1,Hire,2,2,0,1,0.9425,1,Hire,402
"Python, Machine Learning",8,B.Tech,AWS Certified,Data Scientist,59833,2,100.0,Hire,2,0,2,1,0.9414,1,Hire,406
"Python, SQL, Machine Learning",3,MBA,Deep Learning Specialization,Data Scientist,59564,2,55.7,Hire,3,1,2,3,0.9414,1,Hire,406
"Cybersecurity, Linux, Ethical Hacking",5,MBA,AWS Certified,Cybersecurity Analyst,59821,5,100.0,Hire,3,0,1,3,0.9414,1,Hire,406
"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,59707,8,100.0,Hire,2,1,1,0,0.9414,1,Hire,406
"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,59652,10,71.7,Hire,4,0,1,4,0.9414,1,Hire,406
"Ethical Hacking, Networking",9,B.Sc,Google ML,Cybersecurity Analyst,56987,1,100.0,Hire,2,2,1,0,0.94,1,Hire,411
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,56891,0,88.1,Hire,3,2,1,2,0.94,1,Hire,411
"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,56827,4,63.1,Hire,2,2,1,0,0.94,1,Hire,411
"Linux, Ethical Hacking",8,MBA,AWS Certified,Cybersecurity Analyst,96662,9,100.0,Hire,3,0,1,3,0.9397,1,Hire,414
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,96786,4,92.3,Reject,3,1,3,2,0.9397,1,Hire,414
"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,96689,3,100.0,Hire,2,2,1,1,0.9397,1,Hire,414
"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,96836,1,71.9,Hire,4,0,1,4,0.9397,1,Hire,414
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,97006,5,100.0,Hire,3,2,1,2,0.9397,1,Hire,414
"Java, C++, React",7,PhD,None,Software Engineer,100195,6,88.5,Hire,4,3,3,4,0.9394,1,Hire,419
"NLP, Python",10,PhD,Google ML,AI Researcher,100218,10,93.0,Hire,4,2,0,4,0.9394,1,Hire,419
"C++, SQL, React, Java",8,PhD,Deep Learning Specialization,Software Engineer,100202,5,98.4,Hire,4,1,3,4,0.9394,1,Hire,419
"C++, React, SQL, Java",5,B.Sc,AWS Certified,Software Engineer,84438,10,91.4,Hire,2,0,3,0,0.9384,1,Hire,422
"Pytorch, Python, TensorFlow",4,MBA,None,AI Researcher,84358,2,66.1,Hire,3,3,0,3,0.9384,1,Hire,422
"Cybersecurity, Ethical Hacking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,84569,7,77.9,Hire,3,1,1,3,0.9384,1,Hire,422
"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,None,Data Scientist,84282,6,77.4,Hire,2,3,2,0,0.9384,1,Hire,422
"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,84443,3,100.0,Hire,3,2,2,2,0.9384,1,Hire,422
"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,104969,8,100.0,Hire,2,1,3,1,0.9365,1,Hire,427
"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,104955,0,66.8,Hire,4,2,0,4,0.9365,1,Hire,427
"Cybersecurity, Ethical Hacking, Networking, Linux",3,PhD,None,Cybersecurity Analyst,105166,5,81.8,Hire,4,3,1,4,0.9365,1,Hire,427
"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,104942,5,100.0,Hire,4,0,0,4,0.9365,1,Hire,427
"React, Java, SQL",4,MBA,Google ML,Software Engineer,99599,9,100.0,Hire,3,2,3,3,0.9363,1,Hire,431
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,99578,0,44.8,Hire,2,1,2,0,0.9363,1,Hire,431
"React, SQL, Java, C++",2,M.Tech,Deep Learning Specialization,Software Engineer,99600,3,61.8,Hire,3,1,3,2,0.9363,1,Hire,431
"NLP, TensorFlow",6,B.Tech,Google ML,AI Researcher,106122,10,100.0,Hire,2,2,0,1,0.9335,1,Hire,434
"Ethical Hacking, Linux, Networking, Cybersecurity",3,PhD,None,Cybersecurity Analyst,106073,4,79.1,Hire,4,3,1,4,0.9335,1,Hire,434
"Deep Learning, Machine Learning, SQL",2,PhD,Deep Learning Specialization,Data Scientist,106032,10,93.4,Hire,4,1,2,4,0.9335,1,Hire,434
"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,50397,8,70.1,Reject,3,1,2,3,0.933,1,Hire,437
"Machine Learning, Python, SQL",6,B.Tech,None,Data Scientist,50393,5,100.0,Hire,2,3,2,1,0.933,1,Hire,437
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,AWS Certified,Data Scientist,50340,0,95.0,Hire,2,0,2,0,0.933,1,Hire,437
"Python, Pytorch, NLP, TensorFlow",4,PhD,Deep Learning Specialization,AI Researcher,50369,8,100.0,Hire,4,1,0,4,0.933,1,Hire,437
"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,76012,1,100.0,Hire,3,1,3,3,0.9304,1,Hire,441
"Machine Learning, Deep Learning, Python, SQL",6,MBA,None,Data Scientist,76085,4,99.8,Hire,3,3,2,3,0.9304,1,Hire,441
"TensorFlow, Python, Pytorch",8,PhD,None,AI Researcher,75976,1,100.0,Hire,4,3,0,4,0.9304,1,Hire,441
"SQL, Deep Learning, Python",5,MBA,Deep Learning Specialization,Data Scientist,46669,5,98.2,Hire,3,1,2,3,0.928,1,Hire,444
"SQL, C++",0,B.Tech,Google ML,Software Engineer,46679,5,43.5,Hire,2,2,3,1,0.928,1,Hire,444
"Python, Machine Learning, SQL",6,PhD,None,Data Scientist,46741,1,79.6,Reject,4,3,2,4,0.928,1,Hire,444
"SQL, Java, C++",3,M.Tech,None,Software Engineer,46781,6,76.0,Hire,3,3,3,2,0.928,1,Hire,444
"React, SQL",8,M.Tech,AWS Certified,Software Engineer,46717,6,100.0,Hire,3,0,3,2,0.928,1,Hire,444
"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,71756,2,100.0,Hire,2,2,0,0,0.9271,1,Hire,449
"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,71766,7,63.6,Hire,3,1,1,3,0.9271,1,Hire,449
"TensorFlow, NLP, Python",3,PhD,AWS Certified,AI Researcher,71785,7,84.8,Hire,4,0,0,4,0.9271,1,Hire,449
"Ethical Hacking, Networking, Cybersecurity, Linux",8,B.Sc,None,Cybersecurity Analyst,99384,1,98.5,Hire,2,3,1,0,0.925,1,Hire,452
"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,99288,4,99.5,Hire,2,2,3,1,0.925,1,Hire,452
"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,99238,1,90.6,Hire,3,2,0,3,0.925,1,Hire,452
"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,99118,1,100.0,Hire,3,2,0,3,0.925,1,Hire,452
"Pytorch, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,99429,9,72.1,Hire,3,0,0,2,0.925,1,Hire,452
"Linux, Cybersecurity, Networking",2,B.Sc,AWS Certified,Cybersecurity Analyst,54759,1,42.9,Hire,2,0,1,0,0.9156,1,Hire,457
"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,None,Cybersecurity Analyst,55058,3,97.9,Hire,3,3,1,2,0.9156,1,Hire,457
"Java, C++, React",9,M.Tech,None,Software Engineer,54990,1,100.0,Hire,3,3,3,2,0.9156,1,Hire,457
"SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,54846,8,92.4,Hire,2,2,2,0,0.9156,1,Hire,457
"Networking, Cybersecurity, Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,45660,9,98.7,Hire,3,0,1,3,0.9154,1,Hire,461
"Python, NLP, TensorFlow, Pytorch",5,PhD,None,AI Researcher,45488,9,90.4,Reject,4,3,0,4,0.9154,1,Hire,461
"Linux, Networking, Ethical Hacking",3,B.Tech,AWS Certified,Cybersecurity Analyst,45475,3,65.7,Hire,2,0,1,1,0.9154,1,Hire,461
"TensorFlow, NLP",7,M.Tech,Deep Learning Specialization,AI Researcher,45655,6,93.2,Hire,3,1,0,2,0.9154,1,Hire,461
"Deep Learning, Machine Learning",7,M.Tech,AWS Certified,Data Scientist,87562,9,100.0,Hire,3,0,2,2,0.9146,1,Hire,465
"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,65417,3,44.0,Hire,3,1,0,3,0.9146,1,Hire,465
"TensorFlow, NLP, Python",10,M.Tech,Google ML,AI Researcher,65446,9,97.6,Hire,3,2,0,2,0.9146,1,Hire,465
"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,88155,8,100.0,Hire,2,1,3,1,0.9146,1,Hire,465
"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,87988,1,83.8,Hire,4,2,0,4,0.9146,1,Hire,465
"Python, TensorFlow",5,B.Tech,Google ML,AI Researcher,88058,0,74.7,Hire,2,2,0,1,0.9146,1,Hire,465
"Python, SQL, Machine Learning, Deep Learning",4,B.Tech,AWS Certified,Data Scientist,65571,5,100.0,Hire,2,0,2,1,0.9146,1,Hire,465
"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,87556,10,72.4,Hire,2,1,0,0,0.9146,1,Hire,465
"SQL, Machine Learning, Deep Learning",4,B.Sc,None,Data Scientist,75186,1,56.8,Hire,2,3,2,0,0.9139,1,Hire,473
"TensorFlow, Pytorch, Python",9,PhD,Google ML,AI Researcher,75101,2,93.7,Hire,4,2,0,4,0.9139,1,Hire,473
"TensorFlow, NLP",3,B.Tech,Google ML,AI Researcher,74914,10,96.7,Hire,2,2,0,1,0.9139,1,Hire,473
"Pytorch, Python, TensorFlow, NLP",5,B.Sc,Google ML,AI Researcher,75037,10,100.0,Hire,2,2,0,0,0.9139,1,Hire,473
"SQL, Java",3,B.Tech,None,Software Engineer,63531,8,78.7,Hire,2,3,3,1,0.9096,1,Hire,477
"Python, TensorFlow, Pytorch, NLP",3,PhD,None,AI Researcher,63325,8,90.1,Hire,4,3,0,4,0.9096,1,Hire,477
"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,63516,2,100.0,Hire,3,1,2,3,0.9096,1,Hire,477
"TensorFlow, Python, NLP",10,MBA,None,AI Researcher,63362,6,100.0,Hire,3,3,0,3,0.9096,1,Hire,477
"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,67536,6,91.5,Hire,3,2,0,3,0.9091,1,Hire,481
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,None,AI Researcher,67670,9,91.1,Hire,3,3,0,2,0.9091,1,Hire,481
"Linux, Cybersecurity, Ethical Hacking",4,MBA,AWS Certified,Cybersecurity Analyst,67535,1,73.6,Hire,3,0,1,3,0.9091,1,Hire,481
"Deep Learning, Machine Learning, SQL",10,B.Tech,None,Data Scientist,70494,7,92.2,Hire,2,3,2,1,0.9041,1,Hire,484
"Deep Learning, Python, SQL",2,PhD,Deep Learning Specialization,Data Scientist,70971,3,62.4,Hire,4,1,2,4,0.9041,1,Hire,484
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,Google ML,Cybersecurity Analyst,70943,8,77.3,Hire,2,2,1,1,0.9041,1,Hire,484
"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,68144,2,100.0,Hire,2,1,3,0,0.9008,1,Hire,487
"TensorFlow, Python, NLP, Pytorch",9,M.Tech,Google ML,AI Researcher,68212,9,95.5,Hire,3,2,0,2,0.9008,1,Hire,487
"Ethical Hacking, Cybersecurity",0,MBA,AWS Certified,Cybersecurity Analyst,68407,4,34.7,Hire,3,0,1,3,0.9008,1,Hire,487
"React, C++, SQL, Java",9,PhD,Deep Learning Specialization,Software Engineer,68203,9,100.0,Hire,4,1,3,4,0.9008,1,Hire,487
"Ethical Hacking, Linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,113676,9,89.8,Reject,2,0,1,0,0.889,0,Reject,491
"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,113725,0,47.3,Reject,3,1,1,2,0.889,0,Reject,491
"TensorFlow, Python, NLP, Pytorch",0,M.Tech,None,AI Researcher,113643,4,37.9,Reject,3,3,0,2,0.889,0,Reject,491
"Linux, Ethical Hacking",3,M.Tech,AWS Certified,Cybersecurity Analyst,45271,2,61.7,Reject,3,0,1,2,0.8828,1,Hire,494
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,45438,3,100.0,Hire,3,0,1,2,0.8828,1,Hire,494
"Pytorch, TensorFlow, Python, NLP",4,B.Sc,Google ML,AI Researcher,45453,5,94.4,Hire,2,2,0,0,0.8828,1,Hire,494
"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,45422,10,80.3,Hire,2,0,3,1,0.8828,1,Hire,494
"C++, SQL",7,MBA,AWS Certified,Software Engineer,45278,8,100.0,Hire,3,0,3,3,0.8828,1,Hire,494
"SQL, C++, Java",1,M.Tech,None,Software Engineer,48157,5,46.2,Reject,3,3,3,2,0.8794,1,Hire,499
"Python, NLP, Pytorch, TensorFlow",5,B.Sc,Deep Learning Specialization,AI Researcher,48234,9,92.4,Hire,2,1,0,0,0.8794,1,Hire,499
"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,48306,10,100.0,Hire,4,1,2,4,0.8794,1,Hire,499
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,48252,4,93.1,Hire,3,0,3,2,0.8794,1,Hire,499
"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,48195,0,94.7,Hire,4,1,0,4,0.8794,1,Hire,499
"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,59397,10,99.5,Hire,2,0,1,1,0.8725,1,Hire,504
"Ethical Hacking, Linux, Networking, Cybersecurity",6,B.Sc,Google ML,Cybersecurity Analyst,59129,5,100.0,Hire,2,2,1,0,0.8725,1,Hire,504
"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,59448,9,100.0,Hire,3,2,3,3,0.8725,1,Hire,504
"TensorFlow, Python",7,B.Sc,Deep Learning Specialization,AI Researcher,98529,1,89.9,Hire,2,1,0,0,0.8673,1,Hire,507
"Python, Machine Learning",7,M.Tech,None,Data Scientist,98540,0,85.5,Hire,3,3,2,2,0.8673,1,Hire,507
"Pytorch, TensorFlow",0,B.Sc,Deep Learning Specialization,AI Researcher,98413,3,42.0,Reject,2,1,0,0,0.8673,1,Hire,507
"Python, Pytorch",7,B.Sc,None,AI Researcher,98548,7,97.6,Hire,2,3,0,0,0.8673,1,Hire,507
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,106472,4,63.3,Reject,2,1,2,1,0.8661,1,Hire,511
"Linux, Cybersecurity",7,PhD,None,Cybersecurity Analyst,106469,0,84.2,Hire,4,3,1,4,0.8661,1,Hire,511
"C++, SQL",5,M.Tech,Google ML,Software Engineer,106464,5,89.3,Hire,3,2,3,2,0.8661,1,Hire,511
"Python, NLP, Pytorch, TensorFlow",0,B.Sc,Google ML,AI Researcher,106452,3,37.5,Reject,2,2,0,0,0.8661,1,Hire,511
"Cybersecurity, Linux, Ethical Hacking, Networking",3,MBA,Deep Learning Specialization,Cybersecurity Analyst,118062,8,100.0,Hire,3,1,1,3,0.8659,1,Hire,515
"Cybersecurity, Linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,118103,1,50.7,Hire,3,1,1,3,0.8659,1,Hire,515
"Python, TensorFlow, NLP",10,M.Tech,None,AI Researcher,118077,8,100.0,Hire,3,3,0,2,0.8659,1,Hire,515
"Deep Learning, Machine Learning",0,MBA,Deep Learning Specialization,Data Scientist,103294,5,46.1,Reject,3,1,2,3,0.8574,1,Hire,518
"Networking, Linux, Cybersecurity, Ethical Hacking",7,B.Tech,AWS Certified,Cybersecurity Analyst,103102,2,100.0,Hire,2,0,1,1,0.8574,1,Hire,518
"Java, C++, SQL",0,B.Sc,None,Software Engineer,103202,3,33.8,Hire,2,3,3,0,0.8574,1,Hire,518
"Java, C++, React, SQL",6,B.Tech,Deep Learning Specialization,Software Engineer,58157,4,93.2,Reject,2,1,3,1,0.8563,1,Hire,521
"Deep Learning, Machine Learning, Python",10,B.Tech,None,Data Scientist,58090,4,100.0,Hire,2,3,2,1,0.8563,1,Hire,521
"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,58162,5,58.8,Hire,4,0,3,4,0.8563,1,Hire,521
"Machine Learning, SQL, Deep Learning",7,MBA,Google ML,Data Scientist,79303,6,92.2,Hire,3,2,2,3,0.8505,1,Hire,524
"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,79333,5,100.0,Hire,2,2,0,1,0.8505,1,Hire,524
"TensorFlow, Pytorch",5,PhD,AWS Certified,AI Researcher,79405,4,95.0,Hire,4,0,0,4,0.8505,1,Hire,524
"Machine Learning, Python, Deep Learning",1,MBA,Deep Learning Specialization,Data Scientist,79404,4,53.7,Reject,3,1,2,3,0.8505,1,Hire,524
"Ethical Hacking, Networking, Linux, Cybersecurity",1,B.Sc,Google ML,Cybersecurity Analyst,97517,9,67.9,Reject,2,2,1,0,0.8499,0,Reject,528
"NLP, Python, Pytorch",1,MBA,AWS Certified,AI Researcher,97459,0,43.0,Reject,3,0,0,3,0.8499,0,Reject,528
"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,97505,7,94.4,Reject,2,2,3,1,0.8499,0,Reject,528
"C++, Java, SQL, React",10,PhD,None,Software Engineer,79684,8,100.0,Hire,4,3,3,4,0.8475,1,Hire,531
"SQL, Java, React",4,PhD,AWS Certified,Software Engineer,79539,5,91.7,Hire,4,0,3,4,0.8475,1,Hire,531
"Machine Learning, Python",3,B.Tech,Deep Learning Specialization,Data Scientist,79722,2,58.1,Reject,2,1,2,1,0.8475,1,Hire,531
"Deep Learning, Machine Learning, SQL",5,M.Tech,None,Data Scientist,79635,9,100.0,Reject,3,3,2,2,0.8475,1,Hire,531
"Java, React",9,B.Tech,AWS Certified,Software Engineer,79610,1,100.0,Hire,2,0,3,1,0.8475,1,Hire,531
"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,50410,10,100.0,Hire,2,1,3,0,0.8465,1,Hire,536
"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,50602,9,100.0,Hire,3,0,3,3,0.8465,1,Hire,536
"React, SQL, Java, C++",1,PhD,None,Software Engineer,50422,1,33.6,Reject,4,3,3,4,0.8465,1,Hire,536
"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,74792,5,46.3,Hire,3,0,1,2,0.8388,1,Hire,539
"React, C++, Java, SQL",6,B.Tech,Google ML,Software Engineer,74854,6,100.0,Hire,2,2,3,1,0.8388,1,Hire,539
"React, Java",5,PhD,None,Software Engineer,74711,8,96.0,Reject,4,3,3,4,0.8388,1,Hire,539
"SQL, Machine Learning",9,PhD,AWS Certified,Data Scientist,119901,3,95.4,Reject,4,0,2,4,0.8366,1,Hire,542
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,119054,8,83.4,Hire,2,1,2,0,0.8366,1,Hire,542
"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,119307,2,100.0,Hire,2,2,0,1,0.8366,1,Hire,542
"SQL, C++, Java, React",4,MBA,None,Software Engineer,119370,3,72.4,Hire,3,3,3,3,0.8366,1,Hire,542
"Machine Learning, SQL, Python",3,M.Tech,Google ML,Data Scientist,119432,9,93.1,Hire,3,2,2,2,0.8366,1,Hire,542
"Ethical Hacking, Networking",6,B.Sc,AWS Certified,Cybersecurity Analyst,119478,2,98.4,Hire,2,0,1,0,0.8366,1,Hire,542
"SQL, Machine Learning, Python, Deep Learning",7,M.Tech,Deep Learning Specialization,Data Scientist,119474,3,97.8,Hire,3,1,2,2,0.8366,1,Hire,542
"SQL, Python, Deep Learning, Machine Learning",10,PhD,None,Data Scientist,119703,1,93.9,Hire,4,3,2,4,0.8366,1,Hire,542
"NLP, TensorFlow, Python, Pytorch",0,M.Tech,Google ML,AI Researcher,119583,8,63.2,Hire,3,2,0,2,0.8366,1,Hire,542
"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,51200,10,75.5,Hire,3,0,1,2,0.8279,1,Hire,551
"Cybersecurity, Ethical Hacking, Linux, Networking",1,B.Sc,Google ML,Cybersecurity Analyst,51229,2,57.5,Reject,2,2,1,0,0.8279,1,Hire,551
"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,51284,4,100.0,Hire,3,1,3,2,0.8279,1,Hire,551
"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,51283,4,100.0,Hire,3,0,2,2,0.8279,1,Hire,551
"C++, Java",0,B.Sc,None,Software Engineer,89148,8,49.0,Reject,2,3,3,0,0.8246,1,Hire,555
"React, C++, Java, SQL",5,B.Sc,None,Software Engineer,89191,3,90.8,Hire,2,3,3,0,0.8246,1,Hire,555
"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,89338,1,79.5,Hire,2,1,0,1,0.8246,1,Hire,555
"SQL, Deep Learning, Machine Learning",9,B.Sc,Google ML,Data Scientist,89128,0,96.0,Hire,2,2,2,0,0.8246,1,Hire,555
"Python, Machine Learning, Deep Learning",0,B.Tech,Google ML,Data Scientist,116661,3,31.1,Reject,2,2,2,1,0.824,1,Hire,559
"Machine Learning, Python, SQL",6,B.Tech,Deep Learning Specialization,Data Scientist,116481,8,100.0,Hire,2,1,2,1,0.824,1,Hire,559
"Python, TensorFlow",6,B.Sc,Google ML,AI Researcher,116788,2,83.6,Hire,2,2,0,0,0.824,1,Hire,559
"C++, Java, React, SQL",1,PhD,None,Software Engineer,116556,0,30.6,Reject,4,3,3,4,0.824,1,Hire,559
"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,99469,9,73.7,Reject,2,2,1,1,0.8169,1,Hire,563
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,99502,8,94.4,Hire,2,2,2,0,0.8169,1,Hire,563
"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,99512,2,99.0,Hire,4,2,0,4,0.8169,1,Hire,563
"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,99537,10,99.6,Hire,4,0,3,4,0.8169,1,Hire,563
"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,99521,4,100.0,Hire,2,1,0,0,0.8169,1,Hire,563
"Ethical Hacking, Networking, Linux",8,PhD,None,Cybersecurity Analyst,97521,7,100.0,Hire,4,3,1,4,0.8114,1,Hire,568
"Networking, Ethical Hacking",0,B.Tech,None,Cybersecurity Analyst,97659,4,33.7,Hire,2,3,1,1,0.8114,1,Hire,568
"SQL, Deep Learning",4,PhD,None,Data Scientist,97719,8,91.7,Hire,4,3,2,4,0.8114,1,Hire,568
"TensorFlow, Python, Pytorch, NLP",2,B.Sc,Deep Learning Specialization,AI Researcher,97529,4,62.1,Hire,2,1,0,0,0.8114,1,Hire,568
"Ethical Hacking, Linux, Networking",3,M.Tech,None,Cybersecurity Analyst,95288,3,58.9,Reject,3,3,1,2,0.8057,1,Hire,572
"Python, NLP",3,B.Sc,None,AI Researcher,95270,7,75.2,Hire,2,3,0,0,0.8057,1,Hire,572
"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,95222,5,100.0,Hire,3,1,2,2,0.8057,1,Hire,572
"React, SQL, C++, Java",0,B.Sc,Google ML,Software Engineer,118032,2,38.9,Reject,2,2,3,0,0.8055,0,Reject,575
"Ethical Hacking, Cybersecurity, Linux",1,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,117772,2,45.1,Reject,2,1,1,0,0.8055,0,Reject,575
"Pytorch, Python, NLP, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,117784,3,89.2,Hire,3,1,0,3,0.8055,0,Reject,575
